e3ligase,substrate
BTRC,NFKBIA;NFKB2;CDC25A;CTNNB1;RCAN1;WEE1;NFKB1;LPCAT1;C13orf34;DDIT4;FBXO5;DLG1;MDM2;PER1;SMAD3;SMAD4;ATF4;PRLR;NFKBIE;FANCM;CD4;SNAI1;NFKBIB;PER2;CREBZF;PLK4;REST;PKD2;MYC;CDC25B;PSMD4;KDR;EEF2K;FOXO3;CCNE1;USP37;UHRF1;GHR;TAZ;TFAP4;GSK3B;TIAM1;CDK1;BHLHE40;PDCD4;FZR1;TRIB2;BCL10;TRAF3IP2;IRAK1;GLI2;GLI3;YAP1;WWTR1;HSF1;NRF1;NFE2L2;ELF3;TP53;STAT1;SP1;TWIST1;BTG2;BTG1;BORA;MIS18A;CCND1;PTTG1;CLSPN;RASSF1;CASP3;BCL2L11;MCL1;HNRNPD;CPEB1;ELAVL1;TERF1;BMI1;PFKFB3;EPOR;IFNGR1;IL10RA;PTP4A3;DEPTOR;PHLPP1;HRAS;FN1;SPAAR;CTTN;FGD1;FGD3;CDH1;USP47;BST2;CEP68;NFE2L1;DAND5;CHUK;IFNAR1;METAP2;DLG5;COMMD1;FBXW11;LPIN2
TRAF3IP2,TRAF6
FBXO32,EIF3F;MYOD1;FOXO1;MYOG;DUSP1;TNNI3;KCNMB1;MYOT;CABIN1;MYBPC3;MYC;KLF4
KLHL21,AURKB;EB1/MLL
RNF5,JKAMP;PXN;TMEM173;CFTR;MAVS;UBE2L3;STING1;SLC26A4
TRIM63,PSMD4;TNNI3;MYL1;CKM;MYLPF;MYL2;MYBPC2;TNNC1;TNNI1;ACTA1;ATP5B;THRA;GMEB1;HIBADH;ATP5F1B;MYBPC3;NFKBIA
WWP2,POU5F1;EGR2;SLC11A2;POLR2A;WWP2;SMAD7;SMAD3;PAIP1;NOTCH3;DMT1;4-Oct;PTEN;RPB1;ABI3;TP73;TICAM1
TTC3,AKT1;AKT2;AKT3
ASB9,CKB;CKMT1B;CKMT1A
ZFP91,MAP3K14
NEDD4L,NDFIP2;SMAD3;SCN2A;SGK1;SCNN1A;NEDD4L;SLC6A3;SCN3A;SCN5A;SLC38A2;SMAD2;CLCN5;SCN8A;SCN9A;SCN10A;SLC11A2;TGFBR1;TNK2;SCNN1G;NTRK1;TTYH2;TSG101;PSPC1;APBB1;SLC1A3;KCNA3;RHOB;BRAT1;KCNH2;EAAT1;TGFBR2;SCNN1B;NTRK2;TP63;OCLN;HGS;TRPV6;AMOT;RCAN1;ORAI1;DVL2;CRTC3;LGR5;LGR4;EIF2AK4
TRIM41,PRKCB;PRKCE
TRIM28,TP53;IRF7;PRKAA1;FBP1
RNF2,HIST2H2AA3;RYBP;HIST1H2AG;HIST2H2AC;H2AFX;RRM1;AMBRA1;H2AC20;H2AX;H2AC19;H2AC17;H2AZ1;GMNN;RNF2
RNF8,PCNA;H2AFX;HIST1H2AA;RNF8;HIST1H2AG;CHEK2;NBN;BLM;KDM4A;XRCC5;POLD4;HIST2H2AC;HIST2H2AB;HIST1H2BA;H2AX;H2AC1;H2AC17;H2AC20;H2AC21;H2BC1;OTUB1;TPP1;PML
FBXO33,YBX1;EIF3F
FBXL5,IREB2;DCTN1;SNAI1;ABL1;NABP2
RNF31,PRKCB;NR0B1;PRKCA;TRIM25;IKBKG;TRAF1;RIPK1;NEMO;DDX58;CASP1
RNF4,PML;RNF4;ETV4;PARP1;SP1;SUMO2;ATXN1;EPAS1;CENPI;DAND5;ZNF746
RFWD2,TP53;ACACB;JUN;CRTC2;MTA1;RFWD2;ACACA;CCT4;CDKN1B;SFN
MID1,PPP2CA;PRM2;PPP2CB;UBE2D1;IGBP1;PPP2R4;STK36
RLIM,TERF1;LIMK1;HDAC2;LDB2;LDB1;STMN1;MDM2;ZFP42;LMO2;LHX3;LHX2;RLIM;LMO4
UBE4B,FEZ1;PTTG1;ATXN3;UNC45B;TP53
HERC2,XPA;BRCA1;USP20;NEURL4
FANCL,FANCD2;FANCI;CTNNB1
RNF135,DDX58
RNF167,SLC22A18
RNF6,AR;LIMK1;LIMS1
LRSAM1,TSG101
RNF20,PA2G4;HIST1H2BA;HIST2H2BE;H2BC21;H2BC1;H2BC8
RNF40,PA2G4;HIST1H2BA;STX1A;HIST2H2BE;H2BC21;H2BC1
TRIM32,PIAS4;DTNBP1;PIAS3;TRIM32;ABI2;MYC;XIAP;TMEM173;MYCN;BBS2;STING1;DBNDD1;DES;SQSTM1
ANAPC11,PTTG1;CCNB1;ANLN;GMNN
RNF138,LEF1;TCF7L2;RNF138;XRCC5;RBBP8
HLTF,PCNA
ZC3HC1,CCNB1
KLHL8,RAPSN
ERCC8,ERCC6
TRPC4AP,MYC
NEURL2,CTNNB1
CBLL1,CDH1;CTTN;DOK1;ART4;ANXA2
HECTD3,STX8;TRIOBP;MALT1;CASP9;RAF1;CASP8
HECW1,DVL1
MARCHF1,HLA-DRB1;CD4;TFRC;CD86;HLA-DRA;HLA-DRB5;FAS;FASN;HLA-DRB4;CIITA;HLA-DRB3
MARCHF2,TFRC;CD86;DLG1;CFTR
MARCHF8,HLA-DRB1;HLA-DRA;CD86;HLA-DRB5;ATXN3;SOD1;CD74;CYP3A4;IL1RAP;TFRC;FAS;FASN;HLA-DRB4;CIITA;HLA-DRB3;SLC3A2
MIB1,DLL1;DAPK1;MIB1;DLL3;DLL4;TBK1;BLM;JAG1;CEP131;CEP290;PCM1;EDAR;SMN2
MIB2,DLL4;DLL3;DLL1;CYLD;XDH;IKBKG;TBK1
MKRN1,CDKN1A;TP53;FILIP1;POLG;TERT;CDKN2A;PABPC1;RPS10
MYCBP2,TSC2
MALT1,IKBKG
MARCHF4,CD4;HLA-DRB1
MARCHF5,FIS1;MFN1;DNM1L;MARCHF5;UTRN;TANK;SOD1;MAP1B;MFN2;CIITA;ATXN3;TNFRSF10A
MARCHF6,DIO2;SQLE
MARCHF9,PVR;VAMP8;PLXNC1;TMEM2;FCRL2;LILRB1;PTPRJ;CD4;ICAM1;PTPRF;SLAMF1;HLA-DQA1;HLA-DQB1;PTPRA;FCGR2B;CEMIP2;FCRLB;IGHD
MSL2,TP53;HIST2H2BE;H2BC21;H2BC8
NEURL1B,DLL4;DLL3;DLL1;EDAR
PAXIP1,PCNA
PELI1,IRAK1;RALBP1;RIPK1;BCL6;TRAF3
GAN,MAP1B;MAP1S;TBCB;ATG16L1;GFAP
KLHL17,GRIK2
BRAP,CDC14A;BRAP;USP15
BARD1,BRCA1;POLR2A;ESR1;H2AFX;POLR2H;H2AX
DET1,ACACA;TP53;FOXO1;JUN;ACACB;MTA1;CRTC2
PDLIM2,STAT1;RELA
RNF144B,LCMT2;CDKN1A;BAX;NPM1
RAG1,KPNA1;RAG1;HIST3H3;H3-4
RNF125,DDX58;IFIH1;MAVS;JAK1;TP53
RNF19B,UCKL1
CDCA3,WEE1;CDKN1A
CNOT4,KDM5C;CNOT4;RBM15;YAP1
E4F1,TP53
SOCS2,SOCS3;SOCS1;GHR
SOCS3,IRS1;IRS2;SIGLEC7;JAK2;IL6ST
HACE1,CCND1;RAC1;OPTN;RARA;RARB;GOLM1
SMURF2,RNF11;SMAD4;SMAD1;TGFBR1;SMURF1;RAP1B;SMAD2;SMAD7;RUNX2;TNFRSF1B;CTNNB1;SKIL;STAMBP;GSK3B;STAMBPL1;ID1;ID3;SMAD5;AXIN1;RHOA;TRAF4;BTRC;SNON;SMAD3;EGFR;KLF5;TGFBR2;RNF20;MAD2L1;SATB1;TOP2A
TOM1,NAB2;CDC6
TRIM31,TRIM31
RC3H1,ICOS
RFFL,RFFL;TP53;RIPK1;PRR5L;CASP8;CASP10;SFN
RFWD3,TP53
FBXL12,CDKN1C;ALDH3A1;XRCC5;CAMK1;CAMKK2
FBXO6,CHEK1;ATRN;TFRC;ERO1A
MARCHF7,MARCHF7;MAPT
MUL1,DNM1L;MUL1;AKT1;TP53;ULK1;TP73
PRC1,HIST1H2AB;HIST1H2AH;HIST1H2AA;H2AFX;H2AFZ;HIST2H2AA3;RNF2;H2AC8;H2AC12;H2AC1;H2AX;H2AZ1;H2AC19
RNF182,ATP6V0C
ASB3,TNFRSF1B
IRAK4,PELI1
TRIM17,IRF3;TRIM17;MCL1
TRIM23,TRAF6;IKBKG
TRIM2,NEFL;BCL2L11
RNF216,RNF216;RIPK1;TLR4;TLR9;TRAF3;TLR8
RNF34,TP53;CASP8;CASP10;NOD1;RIPK1;PPARGC1A
SOCS5,EGFR
HERC5,NME2
LHX1,LIMK1
PEX12,PEX5
PDZRN3,MUSK
FBXO7,BIRC2;DLGAP5;CD43;SPN;CRBN
FBXW5,TSC2;SASS6;EPS8;DLC1;DLEC1
IRAK1,PELI1
NOSIP,EPOR;PPP2CA
TRIM37,TRIM37
UBR1,RHO
SHPRH,PCNA
RNF180,ZIC2
RNF43,AKAP8L;RNF43;FZD5
ARIH2,GFI1;NFKBIB;APOBEC3G
VPRBP,NF2;UNG;KATNA1;MCM10;SAMHD1;PPP2R1A;TERT
TRAF3,MAP3K14;MAP3K7;IKBKE;TBK1
TRIM11,MED15;PAX6;HTT;ARX;SLC6A4
TRIM56,TMEM173;STING1
FBXO2,GRIN1;STUB1;AHSG;BACE1;ITGB1;GJB2;NR1;SIRPA;NDOR1
PIAS4,ETS1;YY1
RNF115,RNF115;EGFR;FLT3;MET;CXCR4
CCNB1IP1,CCNB1IP1;CCNB1
CISH,BCL2L11
RNF123,CDKN1B;NFKB1;CBX1;CBX5
FBXO3,HIPK2;SMURF1;FBXL12;EP300
FBXW2,GCM1;CCNE2;CCNE1;MSX2
TBL1X,CTNNB1
KLHL9,CCNB1;AURKB;CEBPB;BORA
KLHL10,CCNB1
KLHL11,CCNB1
KLHL12,CCNB1;DRD4;SEC31A;SEC31B;DVL3;PEF1;LNPK;KHSRP
KLHL13,CCNB1;AURKB;BORA
TRIM5,TRIM5
ZSWIM2,ZSWIM2
PIAS2,STAT1
ASB2,FLNB;FLNA
FBXO18,FBXO18;RAD51;ARF1
TRAF1,MAP3K14
TRIM22,TRIM22
UBE3C,CAND2;UBE3C
ARIH1,SIM2;EIF4E2
BMI1,GMNN;HIST2H2AC;HIST2H2AA3;H2AFX;RRM1;H2AC20;H2AX;H2AC19;H2AC8;H2AZ1;H2AC17;H2AC7;H2AW;H2AC21;H2AC6;H2AC12;H2AC1;RNF2;H2AC14
MARCHF11,CD4
OSTM1,GNAI3
PCGF1,HIST1H2AG;H2AC17
PEX10,PEX5
PJA2,PJA2;PRKAR1A;PRKAR2A;PRKAR1B;PRKAR2B
RFPL4A,CCNB1
RNF139,INSIG1
RNF168,H2AFX;HIST1H2AG;HIST2H2AC;KDM4A;HA2FX;H2AC20;H2AX;H2AC17
RNF181,ITGA2B
RNF185,NUDT16L1;DVL2;BNIP1;CFTR
RNF11,SMURF2
RNF13,RNF13;SNAPIN
RNF14,RNF14
TRIM13,VCP;MDM2;AKT1;CD3D;AKT2;TRIM13
TRIM8,SOCS1;MAP3K7
UBR2,HIST1H2AG;HIST2H2AC;H2AC20;H2AC17
CDC34,BTRC;CDKN1B;NFKBIA;MYBL2;KIP1;CREM;CTNNB1
DTX3L,HIST1H4A;HIST1H2BJ;H4C9;H2BC11
BIRC6,DIABLO
FBXW8,CCND1;GORASP1;IGFBP2;IRS1;TBC1D3;MAP4K1
UHRF1,DNMT1;HIST1H3A;TP53;PML;H3C8
PRPF19,PRPF3;RPA2;RPA1
UCHL1,SMN1;SMN2
FBXO8,ARF6;GSTP1
FBXO42,TP53
FZR1,TK1;E2F3;SKP2;CCNB1;MOAP1;CCNA2;PTTG1;BUB1B;CDC20;CLSPN;SOX2;ZC3HC1;CDC6;DCPS;USP1;DNM1L;CDC25A;HECW2;NEK2;PAX3;GMNN;PLK1;KIAA0101;RBBP8;PCLAF;AURKA;BUB1;SKIL;MYF5;DTYMK;DNMT1;ID1;CDH13;RUNX1;ID2;FOXM1;NEDD9;SGO1;SASS6;CKAP2;AURKB;NUSAP1;ANLN;TPX2;PFKFB3;MAPK8;MAPK9;MAPK10;KLF4;NDC80;E2F1;MFN1;OPA1;TFAM;TRRAP;PECAM1;STIL
SOCS6,KIT
RNF146,XRCC1;XRCC6;AXIN1;AXIN2;BLZF1;CASC3;TNKS;TNKS2;PARP1
FBXL2,CCND2;AURKB;PIK3R2;APP;NLRP3;CCND3;PCYT1A
PELI3,TRAF6;RIPK2;IRAK1
FBXL22,ACTN2;FLNC
RNF126,CDKN1A;EGFR;AICDA;FLT3;MET;CXCR4
TRIM39,TP53;MOAP1
DYRK2,TERT
SIVA1,CDKN2A
KLHL3,WNK4;WNK1
FBXL15,SMURF1;SMURF2;WWP2
ING4,RELA
FBXL3,CRY2;CRY1;CYR1
TRIM49,BLM
KLHL2,WNK4;NPTXR;WNK1;WNK3
RNF38,TP53
AMBRA1,BECN1
HERC1,SOX9;TSC2
C10orf90,TP53
RHOBTB3,CCNE1
DZIP3,ATXN1;HIST1H2AB;H2AC8
MEX3B,SNUPN
TRIM71,LIN28B
ASB11,RPN1
TRAF4,SMURF2
FBXO15,CRLS1;ABCB1
ASB4,ID2
TRIM65,TNRC6A;ARHGAP35
TRIM58,DYNC1I1;DYNC1LI2
BIRC7,DIABLO
FAF2,NF1
KCTD13,RHOA
TNFAIP1,RHOA
SPSB2,NOS2;NANOS2
RICTOR,SGK1
RNF144A,PRKDC
KCTD11,HDAC1
DDB1,COPS5;TP73;CCNK;NR5A2
FBXO44,BRCA1;UNC13A
ANAPC2,PTTG1
KLHL22,PLK1;DEPDC5
FBXO21,EID1;ABCB1
LNX2,NUMB
PPARA,BCL2
FBXW12,IL22RA1
RNF26,TMEM173;SQSTM1;IRF3;STING1
TRIM26,IRF3
TRIM62,CARD9;TRIM62
CCNF,CDC6;CP110;RRM2;CCP110
FBXL18,FBXL7
KDM2B,FOS;HIST2H2AC;H2AC20
FBXL7,BIRC5;AURKA
RNF152,RRAGA;RHEB
HECTD2,PIAS1
F12,HIF1A
NAT10,MDM2
KCTD17,TCHP
FBXL17,SUFU;BACH1;BRIP1
KLHL20,PML;DAPK1;CORO7;ARHGEF11;ULK1;PIK3C3;BECN1
SOCS7,DAB1
FBXW10,CBX5
FBXO9,TELO2;TTI1
FBXO10,BCL2
FBXO22,KDM4A;BSG;KLF4;TP53
FBXO25,HAND1;ISL1;NKX2-5;ELK1
FBXO40,IRS1
FBXL4,KDM4A
FBXL14,DUSP6;SNAI2;SNAI1;TWIST1
FBXL19,RAC1;RHOA;IL1RL1
FBXL21,CRY1;CRY2
ZNRF1,CAV1;GLUL;AKT1
DCAF1,KATNA1;UNG;MCM10;SAMHD1;PPP2R1A;NF2;TERT;LATS1;LATS2
TANK,TICAM1;IKBKE;DUSP14;RIPK1;TRAF3;KRR1;MAPK11;BIRC3;MLST8
MPG,UBE2D1;IGBP1;PTPA;STK36;PPP2CA;PRM2;PPP2CB;HMG20B
SOCS4,DAB1
COP1,CCT4;CDKN1B;ACACB;CRTC2;COP1;ACACA;SFN;MMP1;JUN;CTNNB1;STAT3;MTA1;TP53;ETV1;ETV4;ETV5
FBH1,RAD51;ARF1;FBH1
FBXL21P,CRY1;CRY2
SAG,CDC34;PMAIP1;CDKN1B;DEPTOR;HIF1A;NFKBIA;JUN;NF1
RBX1,RPS6KB1;ESR1;NFE2L2
RACK1,HIF1A;CLEC1B
RING1,H2AC17
EP300,TP53;E2F1
DTX1,MAP3K1
RNF25,NKD2
TRIM36,IRF3
FBXO34,MYOD1
HECW2,TP73
TRIM9,TRIM9
ARID1B,ARID1B
TRIM3,GKAP1
BFAR,TMBIM6
TRIM38,TRIM38;TRAF6
AHR,ESR1;PPARG
RNF170,ITPR1
TRIM27,PIK3C2B
DTX4,TBK1
RNF149,BRAF
TRAF7,TP53
RNF130,VAMP3
HECTD1,PIP5K1C
UBR4,TRPV5
CCAR1,TP53
CRBN,CRBN;TP63;SALL4;MAPT;IKZF3;IKZF1
CUL1,TP53
CGRRF1,EGFR
FBXO27,LAMP2
KCTD10,TICAM1;CEP97;RHOB
CUL5,TP53;APOBEC3G
KLHL6,RC3H2;CDK2
CUL7,TP53
RHOBTB1,PDE5A
KLHL15,RBBP8;PPP2R5B
TRIM59,MACROH2A1
DCAF15,RBM39
RNF183,TNFRSF10B;ATP1B1
DCAF12,MAGEA3;MAGEA6
DCAF11,GEN1
KLHL7,TUT1
KLHL42,PPP2R5E
KLHL25,EIF4EBP1
KLHL18,AURKA
DCAF4,OPTN;ST7
FBXO28,FBXO28
NEURL1,PDE9A
